"scenario","variable","model","year","value","units"
"ssp119","CH4_concentration","hector 3.5.0",1885,880.980253098968,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1886,883.797970465005,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1887,886.895220774472,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1888,889.891355726984,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1889,893.124110831797,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1890,896.353701638528,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1891,899.63885798142,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1892,903.50852080944,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1893,907.250331632601,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1894,910.455653321519,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1895,913.203687136158,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1896,914.747999807732,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1897,916.249504622433,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1898,918.99002585377,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1899,922.251102265479,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1900,925.518844607249,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1901,928.763935713905,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1902,932.691699403673,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1903,936.740916873962,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1904,942.070245693648,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1905,947.401529987688,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1906,953.052771934225,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1907,959.118126474573,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1908,964.048150373117,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1909,969.362021753224,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1910,974.750957272978,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1911,979.428479527763,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1912,983.567710823968,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1913,986.202206409161,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1914,988.57203955664,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1915,991.424131816439,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1916,998.418308630738,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1917,1003.53547643723,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1918,1010.09480219157,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1919,1017.59335014701,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1920,1025.03120687599,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1921,1032.1578152456,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1922,1039.05376850355,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1923,1045.07809455197,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1924,1049.3934424983,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1925,1052.09951190299,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1926,1053.5348754839,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1927,1055.70005330719,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1928,1060.56425011797,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1929,1066.5788873606,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1930,1072.5538855978,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1931,1077.40279875109,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1932,1081.87012164756,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1933,1086.4454985654,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1934,1091.67149251038,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1935,1096.97581586743,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1936,1101.7195304969,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1937,1106.20260467674,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1938,1110.50737442344,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1939,1116.78104273974,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1940,1119.98594100945,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1941,1123.10119812258,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1942,1128.04672278586,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1943,1132.51343699702,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1944,1136.12086779451,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1945,1139.16907987784,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1946,1143.50707778653,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1947,1149.48332049083,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1948,1155.46831677774,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1949,1160.18334753511,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1950,1163.64971767712,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1951,1168.63508151252,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1952,1174.13295114923,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1953,1183.18040713893,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1954,1194.24852621366,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1955,1206.46745197819,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1956,1220.91582524144,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1957,1235.61428240575,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1958,1247.23476639214,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1959,1257.13554028093,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1960,1263.93634883023,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1961,1269.2789716561,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1962,1282.38983143297,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1963,1300.61216053515,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1964,1317.19867716305,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1965,1330.90169996251,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1966,1342.09412107501,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1967,1354.13643695067,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1968,1371.52571659062,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1969,1389.22619234778,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1970,1410.99282614363,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1971,1431.01920843407,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1972,1449.19233229589,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1973,1462.76633255671,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1974,1476.04828951325,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1975,1491.64684034945,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1976,1509.0126093226,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1977,1527.5809071495,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1978,1546.78619103673,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1979,1566.04658122757,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1980,1584.81136238891,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1981,1602.50127628653,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1982,1618.55744284706,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1983,1632.41969167171,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1984,1643.27813912518,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1985,1655.68255779412,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1986,1668.5537553235,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1987,1683.49286189511,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1988,1693.65535229911,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1989,1705.30690360254,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1990,1717.02888746244,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1991,1728.89941304791,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1992,1739.64204012891,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1993,1742.55921097884,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1994,1748.09405122898,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1995,1754.71807051071,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1996,1756.67310315471,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1997,1760.94932051844,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1998,1769.680758157,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",1999,1777.51716889887,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2000,1777.24433207901,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2001,1775.66809004003,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2002,1777.98984165243,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2003,1782.50482931601,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2004,1783.03233071548,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2005,1782.05394047624,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2006,1782.00997062849,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2007,1787.44319350955,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2008,1796.82286842032,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2009,1800.4193047826,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2010,1806.08594075616,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2011,1811.22673356006,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2012,1813.33886657696,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2013,1820.58281083573,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2014,1829.39797412736,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2015,1839.99920698473,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2016,1847.30266766494,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2017,1851.70541982591,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2018,1853.39006250712,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2019,1852.56276737147,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2020,1849.41678972719,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2021,1843.82684557778,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2022,1835.97007305342,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2023,1825.99647104781,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2024,1814.04381215545,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2025,1800.23717617664,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2026,1784.70556009072,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2027,1767.55792902667,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2028,1748.89159657583,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2029,1728.79432464086,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2030,1707.34574097076,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2031,1686.93512324969,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2032,1667.46184859192,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2033,1648.8044489053,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2034,1630.86937246364,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2035,1613.57553337676,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2036,1596.85086794595,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2037,1580.6307744914,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2038,1564.85710266022,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2039,1549.47751995313,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2040,1534.44442455143,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2041,1519.71434142982,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2042,1505.25648863517,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2043,1491.03985666185,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2044,1477.0386844154,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2045,1463.23013183447,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2046,1449.59371793131,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2047,1436.11095318475,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2048,1422.76507503038,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2049,1409.54084265156,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2050,1396.42438504987,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2051,1383.81717980211,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2052,1371.67934642908,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2053,1359.97253488226,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2054,1348.6631325189,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2055,1337.72060535699,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2056,1327.11703981445,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2057,1316.82683952749,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2058,1306.82645795085,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2059,1297.09418639607,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2060,1287.60991810651,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2061,1278.35475138196,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2062,1269.31221815473,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2063,1260.46841095215,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2064,1251.80988773277,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2065,1243.32408384144,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2066,1234.99937443012,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2067,1226.82488466496,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2068,1218.79050198733,"ppbv CH4"
"ssp119","CH4_concentration","hector 3.5.0",2069,1210.8868441936,"ppbv CH4"
